Meaning,,Jurchen,,,,,,Manchu,,,,,,Xibe,,,,,,Hezhe,,,,,,Kur-Urmì,,,,,,Bikin Nanai,,,,,,Najkhin Nanai,,,,,,Ulch,,,,,,Orok,,,,,,Udihe,,,,,,Oroch,,,,,,Solon,,,,,,Oroqen,,,,,,Khamnigan Evenki,,,,,,Stony Tunguska Evenki (Southern),,,,,,"Strelka-Chunya Evenki (Krasnoyarsk krai, Evenki municipal district; Southern)",,,,,,"Tutonchany Evenki (Krasnoyarsk krai, Evenki municipal district; Northern)",,,,,,"Chiringda Evenki (Krasnoyarsk krai, Evenki municipal district; Northern)",,,,,,"Teteya Evenki (Irkutsk oblast, Katangskiy district; Northern)",,,,,,Negidal,,,,,,Even,,,,,
,root,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basìc orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References
,ʤodo-,,,,,,,jodo-,ʤodo-,ʤodo-,,,Norman 1978: 161,dʐodu-,ʤodu-,dʐodu-,,,Li 1986: 157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nəhə-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nehe-,nəhə-,nəxə-,,,Dorji 1998: 480,nəkə-,nəkə-,nəxə-,,,Hu 1986: 201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,adyliŋ-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adyling-,adyliŋ-,adyliŋ-,,to weave a net,Vasilevich 1958: 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at,du,,,,,,,,,,,,,,,,,,,du,du,tu,,"suffix, dative-locative case",Zhang et al. 1989: 28-29,do,do,do,,dative case,Sunik 1958: 71,do ~ du,do ~ du,do ~ du,,dative case marker,Sem 1976: 39-42,do ~ du,do ~ du,dwo ~ dwu,,DAT,Avrorin 1959: 180,dú ~ du,do ~ du,do ~ du,,dative case marker,Sunik 1985: 35,do ~ du,do ~ du,dɔ ~ du,,locative 1 case marker,Petrova 1967: 47,du,du,du,,DAT,"Nikolaeva, Tolskaya 2001: 123",du,du,du,,DAT,Lebedeva 1997: 220,dʊlaa / duləə,dụlaː / duləː,dʊlaː / duləː,,,Hu and Chaoke 1986: 23,dʊ ~ du,dụ ~ du,dʊ ~ du,,dative case marker,Hu 1986: 58,dvv ~ duu,doː ~ duː,doː ~ duː,,dative case marker,Janhunen 1991: 62,du ~ tu,du ~ tu,dʉ ~ tʉ,,dative case marker,Vasilevich 1948: 41,,-duː,-duː,,,,,-duː,-duː,,,,,-duː,-duː,,,,,,,,,,dū ~ tū,duː ~ tuː,duː ~ tuː,,dative case marker,Cincius 1982: 27,dú ~ du ~tú ~ tu,du ~ du ~ tu ~ tu,duˁ ~ du ~ tuˁ ~ tu,,dative case marker,Novikova 1960: 152-153
,də (< Mong. Pevnov 2013),,,,,,,de,də,də,,dative-locative particle,Norman 1978: 56,d,d,d,,dative case marker,Li 1986: 46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge (n.),ʤabka-,,,,,,,,,,,,,,,,,,,ʧapk'arɛ,ʤabkarə,ʨapkharɛ,,,Xuejuan 2005: 202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dâpka,ʤapka,ʤapka,,,Vasilevich 1958: 150,,ďapka,ďapka,river bank near the water,,,,ďapka,ďapka,river bank,,,,ďapka,ďapka,,,,,,,,,,,,,,,,,,,,,
,kera-,,,,,,,,,,,,,,,,,,,,,,,,,kera-nì,kera-nị,kjera-nɪ,,edge-P.3SG,Sunik 1958: 178,k'íra ~ ḳ'ara,kịra ~ kara,kjera ~ qara,river bank,,Sem 1976: 164,kira,kera,kjera,river bank,,Onenko 1980: 219,kera-,kera-,kera-,,,Sunik 1985: 204,,kira,/ki.ra/,,,,keœ,kä,kjæ,river bank,,Girfanova 2001: 187,ki͜a,kia,kjia,(river) bank; postposition 'near',,"Avrorin, Lebedeva 1978: 195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ḳírắɣ / ḳírắn,kirag / kiran,kiˁraˁɣ / kiˁraˁn,,,Novikova 1980: 184
,ʤərin,,,,,,,jerin,ʤərin,ʤərjin,anvil,,Norman 1978: 158,,,,,,,,,,,,,ʒèrìn,ʤərịn,ʤərjɪn,,,Sunik 1958: 175,,,,,,,,,,,,,ǯèri(n),ʤəri(n),ʤərji(n),,,Sunik 1985: 197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mučča,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mučča,mučča,muʧːɑ,,,Ikegami 1997: 127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hošo,,,,,,,hošo,hošo,χoʃo,corner; area; direction; square,,Norman 1978: 136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,uʤan,,,,,,,,,,,,,udʐan,uʤan,udʐɑn,,,Li 1986: 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ʤəji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jeyi,ʤəji,ʤəji,,,Dorji 1998: 369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ǯeǰạ̄n ~ ǯèǰè̄n,ʤəjọːn ~ ʤəjəːn,ʤəjɵːn ~ ʤəjəːn,river bank,,Cincius 1982: 215,ǯèǰèn,ʤejen,ʤejen,,,Novikova 1980: 175
,ọgu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vḡu,ọgu,oɣu,,,Dorji 1998: 747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,oldon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oldon,oldon,oldon,,,Vasilevich 1958: 319,,,,,,,,oldoːn,oldoːn,side of an object,,,,"oldón
","oldón
",,,,,,,,,,,,,,,,,,,,,
,kəčin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kəʧin,kəčin,kəʧin,,,Li and Whaley 2009 http://wold.clld.org/valuesets/20-12-353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chin (n.),sənčəhə,,,,,,,sencehe,sənčəhə,sənʧəxə,,,Norman 1978: 237,sətʂk,səčk,sɘtʂk,,,Li 1986: 148,səʨkə,səčkə,səʨhkhə,,,An 1986: 91,sèshè,səshə,səsxə,,,Sunik 1958: 191,sèshè,səshə,səsxə,,,Sem 1976: 186,sèshè,səshə,səsxə,,,Onenko 1980: 387,sèsèhè,səsəhə,səsəxə,,,Sunik 1985: 237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,geːga(n),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geega(n),geːga(n),gɛːɢɑ(n),,,Ikegami 1997: 65,,,,,,,gækā(n),gäːkaː(n),gjæqaː(n),mandible,,"Avrorin, Lebedeva 1978: 173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gēhān ~ gēkān,geːhaːn ~ geːkaːn,gɛːxaːn ~ gɛːkaːn,jowl,,Cincius 1982: 204,,,,,,
,ʤei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,зei ~ зij,ʤei ~ ʤij,ʣəi ~ ʣij,mandible,,"Girfanova 2001: 132, 135",,,,,,,jeḡi,ʤəgi,ʤəɣi,,,Dorji 1998: 365,ʤəg,ʤəg,ʤəɣ,,,Li and Whaley 2009 http://wold.clld.org/valuesets/20-4-209,zəgi,ʣəgi,ʣəɣi,,,Tsumagari 1992: 91,deg ~ dev,ʤəg ~ ʤəw,ʤəɣ ~ ʤəw,,,Vasilevich 1958: 110,,ďeg,ďeγ,jaw,,,,ďəg,ďəg,jaw,,,,,,,,,,,,,,,,,,,,,,,,,,
,kewe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kèvè,kewe,kewe,mandible; ear of a cap,,Novikova 1980: 187
play (v.),əfi-,efi-,əfi-,əfi-,,,Kane 1989: 279,efi-,əfi-,əfji-,,,Norman 1978: 70,ivi-,ivi-,ivi-,,,Li 1986: 159,,,,,,,,,,,,,kuf'i- ~ kuf'i-lè- ~ kuf'i-ndè-,kufi- ~ kufi-lə- ~ kufi-ndə-,kufji- ~ kufji-lə- ~ kufji-ndə-,,play-SUF-,Sem 1976: 167,hupi- ~ kupi-,hupi- ~ kupi-,xwupi- ~ kwupi-,,,Onenko 1980: 481,hupu-,hupu-,xupu-,,,Sunik 1985: 253,xupi-,hupi-,xupi-,,,Ikegami 1997: 247,,,,,,,èvi-,əwi-,əwi-,,,"Avrorin, Lebedeva 1978: 255",uḡii-,ugiː-,uɣiː-,,,Dorji 1998: 723,əwi-,əwi-,əwi-,,,Hu 1986: 202,ugii-,ugiː-,uɣiː-,,,Tsumagari 1992: 97,èvī-,əwiː-,əwɨː-,,,Vasilevich 1958: 543,,əwi-,əwi-,,,,,əwiː-,əwiː-,,,,,əwiː-,əwiː-,,,,,əwiː-,əwiː-,,,,èvī-,əwiː-,əwiː-,,,Cincius 1982: 302,èvi- ~ èǰu-,ewi- ~ eju-,ewi- ~ eju-,,,Novikova 1980: 237
,ukači-,,,,,,,,,,,,,,,,,,,ukaʨi-,ukači-,ukhaʨhi-,,,An 1986: 99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,gusi-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gusi-,gusi-,gusji-,,,Girfanova 2001: 93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,holbo-,,,,,,,,,,,,,,,,,,,,,,,,,holbona-,holbona-,χolbona-,,,Sunik 1958: 201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,čečače-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,číčačí-,čečače-,ʧeʧaʧe-,,,Sunik 1985: 258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheek (n.),čira,,,,,,,,,,,,,,,,,,,ʨira,čira,ʨhira,,,An 1986: 91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dəuʤə,,,,,,,,,,,,,,,,,,,,,,,,,dèuʒè,dəuʤə,dəuʤə,face,,Sunik 1958: 172,dèud'i,dəudi,dəudji,face,,Sem 1976: 155,dèrèl,dərəl,dərəl,face,,Onenko 1980: 172,,,,,,,,,,,,,,,,,,,dəbbi,dəbbi,dəbːi,,,Kazama 1996: 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,šakšaha,,,,,,,šakšaha,šakšaha,ʃaqʃaχa,,,Norman 1978: 257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sasa,sasa,sasa,,,Girfanova 2001: 263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,funči,funči,funči,funʧi,,,Kane 1989: 318,,,,,,,dərəj filʨin,dərəj filčin,dɘrɘj filʨin,,,Li 1986: 148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pulči(n),pulči(n),pul̥ʧi(n),,,Ikegami 1997: 165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,andase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,andasí,andase,andase,,,Sunik 1985: 173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,elreken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,èlrăkăn ~ ălrăkăn,elreken ~ elreken,elreken ~ elreken,,,Novikova 1980: 238
,anšiŋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anqing,anšiŋ,anʃɪŋ,,,Dorji 1998: 35,anʧan,ančan,anʧan,,,Li and Whaley 2009 http://wold.clld.org/valuesets/20-4-208,ancan,ancan,anʦan,,,Tsumagari 1992: 91,ančan,ančan,anʧan,,,Vasilevich 1958: 33,,ančan,ant͡ʃan,,,,,ančan,ant͡ʃan,,,,,,,,,,,,,,,,ančan ~ an'čan ~ anča ~ an'ča,ančan ~ ańčan ~ anča ~ ańča,anʧan ~ aɲʧan ~ anʧa ~ aɲʧa,,,Cincius 1982: 192,,,,,,
pus (n.),nijaki,,,,,,,niyaki,nijaki,njijaqji,nasal mucus,,Norman 1978: 216,jaŋk,jaŋk,jɑŋk,,,Li 1986: 149,niaŋki,niaŋki,ɲiaŋkhi,,,An 1986: 92,,,,,,,n'ǣ-ḳsa ~ n'ǣ-ḥsa,ńäː-ksa ~ ńäː-hsa,ɲæːksa ~ ɲæːxsa,,rot-SUF,Sem 1976: 176,nâ-ksa ~ nia-ksa,ńa-ksa ~ nea-ksa,ɲa-ksa ~ nea-ksa,,rot-SUF,Onenko 1980: 303,n'ē-ksa,ńeː-ksa,ɲeːksa,,rot-SUF,Sunik 1985: 218,naaksa,naːksa,nɑːksɑ,,,Ikegami 1997: 131,nja-ŋe,nja-ŋe,nja-ŋə,,rot-SUF,Girfanova 2001: 232,n'ā-ksa,ńaː-ksa,ɲaː-ksa,,rot-SUF,"Avrorin, Lebedeva 1978: 210",,,,,,,ȵa-kʃa,ńa-kša,ɲakʃa,,rot-SUF,Hu 1986: 194,naa.ksa,naː.ksa,naːksa,,< *rot-SUF,Tsumagari 1992: 97,nâ̄-ksè ~ nâ-kša,ńaː-ksə ~ ńa-kša,ɲaːksə ~ ɲakša,,rot-SUF,Vasilevich 1958: 310,,ńaːxsə,ɲaːxsə,,,,,ńaːhśə,ɲaːxśə,,,,,,,,,,,ńaːxʃə,ɲaːxʃə,,,,n'a-ksa ~ n'a-hsa,ńa-ksa ~ ńa-hsa,ɲaksa ~ ɲaxsa,mud,rot-SUF,Cincius 1982: 249,n'ās,ńaːs,ɲaˁːs,,,Novikova 1980: 199
,munu-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,munu-nge,munu-ŋə,munuŋə,,rot-SUF (?),Dorji 1998: 459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly (v.),də-,de-,də-,də-,,,Kane 1989: 184,deye-,dəjə-,dəjə-,,,Norman 1978: 60,dəji-,dəji-,dɘji-,,,Li 1986: 161,dəgdə-,dəgdə-,təkdə-,,,Zhang et al. 1989: 128,dègdè-,dəgdə-,dəgdə-,,,Sunik 1958: 172,dègdè-či-,dəgdə-či-,dəgdə-ʧi-,,fly.up-IPFV-,Sem 1976: 154,dègdè-,dəgdə-,dəgdə-,,,Onenko 1980: 166,dègdè-,dəgdə-,dəgdə-,,,Sunik 1985: 192,,,,,,,diəli-,diəli-,djielji-,,,Girfanova 2001: 109,dè͜ili-,dəili-,dəilji-,,,"Avrorin, Lebedeva 1978: 180",deḡeli-,dəgəli-,dəɣəli-,,,Dorji 1998: 118,dəjli-,dəjli-,dəjli-,,,Hu 1986: 204,dəgili-,dəgili-,dəɣili-,,,Tsumagari 1992: 93,dèg-,dəg-,dəɣ-,,,Vasilevich 1958: 132,,dəg-,dəg-,,,,,dəg-,dəg-,,,,,dəg-,dəg-,,,,,dəg-,dəg-,,,,dèɣ-,dəg-,dəg-,,,Cincius 1982: 212,dèɣ-,deg-,deg-,,,Novikova 1980: 172
,səgdə-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,səgdə-,səgdə-,ʃəgdə-,,,Ikegami 1997: 178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hole (n.),saŋga,,,,,,,sangga,saŋga,saŋɢa,,,Norman 1978: 233,sangga,saŋɢa,saŋɢa,,,Zhenyuan et al. 1998: 62,saŋa,saŋa,saŋa,,,An 1986: 87,saŋa,saŋa,saŋa,cave,,Sunik 1958: 188,saŋ(ǧ)a,saŋ(g)a,saŋ(g)a,,,Sem 1976: 170,sangar,saŋar,saɴar,,,Onenko 1980: 353,saňgal(í),saŋgal(e),saŋgal(e),,,Sunik 1985: 230,saŋa,saŋa,sɑŋɑ,,,Ikegami 1997: 173,saŋa,saŋa,saŋa,,,Girfanova 2001: 263,saňa,saŋa,saŋa,deep wound; cave,,"Avrorin, Lebedeva 1978: 221",sangal,šaŋal,saŋal,,,Dorji 1998: 580,,,,,,,saŋaar,saŋaːr,saŋaːr,,,Tsumagari 1992: 94,sangār,saŋaːr,saŋaːr,,,Vasilevich 1958: 344,,saŋar,saŋar,,,,,haŋaːr,haŋaːr,,,,,haŋaːr,haŋaːr,,,,,,,,,,saňā,saŋaː,saŋɣaː,,,Cincius 1982: 263,ḥaŋar,haŋar,ħaˁŋaˁr,,,Novikova 1980: 220
,luktu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,luktu ~ luŋtu,luktu ~ luŋtu,luktu ~ luŋtu,,,Sem 1976: 170,,,,,,,lúḳtú ~ lúňtú,loqto ~ loŋto,loqto ~ loŋto,,,"Sunik 1985: 210, 211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loktoho ~ loktoko,loktoho ~ loktoko,loktoxo ~ loktoko,,,Cincius 1982: 239,,,,,,
,foldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foldo,foldo,foldo,,,Sem 1976: 170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ultəkə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ultəkə,ultəkə,ultəxə,,,Hu 1986: 190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grow (v.),baldị-,,,,,,,,,,,,,,,,,,,,,,,,,baldì-,baldị-,baldɪ-,to be born; live,,Sunik 1958: 166,bal'd'í-,baldị-,baldje-,be born; live,,Sem 1976: 141,,,,,,,balda- ~ baldí- ~ baldú-,balda- ~ balde- ~ baldo-,balda- ~ balde- ~ baldo-,to live; be; be born,,Sunik 1985: 175,,balǰi-,/bal.ɟi/,,,,bagdi-,bagdi-,bagdi-,"to live, be born",,Girfanova 2001: 46,bāgdi-,baːgdi-,baːgdi-,be born; live,both animals and plants,"Avrorin, Lebedeva 1978: 166",,,,,,,,,,,,,,,,,,,baldȳ-,baldyː-,baldiː-,,,Vasilevich 1958: 49,,baldɨː-,baldɨː-,,,,,baldy-,baldɨ-,to give birth to a child,,,,,,,,,,,,,,,baldi-,baldi-,baldi-,to be born; give birth; live,,Cincius 1982: 196,baldắ-vač- ~ baldắ-vat-,balda-wač- ~ balda-wat-,baˁldaˁ-waˁʧ- ~ baˁldaˁ-waˁt-,,be.born-SUF-,Novikova 1980: 161
,mutə-,,,,,,,,,,,,,,,,,,,mutə-,mutə-,muthə-,,,An 1986: 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ju-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jəhu-,ju-,ju-,,,Girfanova 2001: 122,,,,,,,,,,,,,juu-,juː-,juː-,,,Hu 1986: 204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,isèv-,isəw-,isəw-,,,Cincius 1982: 226,,,,,,
,urə-,,,,,,,,,,,,,,,,,,,,,,,,,urè-,urə-,urə-,,,Sunik 1958: 196,,,,,,,urè-,urə-,urə-,,,Onenko 1980: 433,urè-,urə-,urə-,,,Sunik 1985: 246,urə-,urə-,urə-,,,Ikegami 1997: 221,,,,,,,,,,,,,,,,,,,,,,,,,urug-,urug-,urug-,,,Tsumagari 1992: 93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,fulhurə-,,,,,,,fulhure-,fulhurə-,fulxurə-,,,Norman 1978: 95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,huasi-,,,,,,,,,,,,,χuasi-,huasi-,xuɑɕi-,,,Li 1986: 161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,həgdyhə-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,həgdyhə-,həgdɨhə-,,big-VBLZ,,,,,,,,,,,,,,,,,,,
,ụggụ-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oggo-,ụggụ-,ʊgːʊ-,,,Dorji 1998: 519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
head (n.),dili,,,,,,,,,,,,,,,,,,,dili,dili,tili,,,Zhang et al. 1989: 130,d'ìlì,djịlị,djɪljɪ,,,Sunik 1958: 171,d'íl'í,dịlị,djelje,,,Sem 1976: 152,dili,ʤele,ʤeli,,,Onenko 1980: 154,dílí,dele,dele,,,Sunik 1985: 190,ǰili,ʤili,ʤili,,,Ikegami 1997: 89,dili,dili,dilji,,,Girfanova 2001: 107,dili,dili,dilji,,,"Avrorin, Lebedeva 1978: 178",,,,,,,dɪlɪ,dele,dele,,,Hu 1986: 194,dili,dili,dɪlɪ,,,Tsumagari 1992: 94,dèl ~ dyl,dəl ~ dyl,dəl ~ dɨl,,,"Vasilevich 1958: 134, 128",,dɨl,dɨl,,,,,dylma,dɨlma,,,,,dɨl,dɨl,,,,,dɨl,dɨl,,,,del ~ dil,del ~ dil,del ~ dil,,,Cincius 1982: 209,díl,dil,diˁl,,,Novikova 1980: 170
,uʤu,uǰu,uʤu,uʤu,,,Kane 1989: 314,uju,uʤu,uʤu,,,Norman 1978: 293,udʐw,uʤo,udʐo,,,Li 1986: 148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uju,uʤu,uʤu,,,Dorji 1998: 727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belly (n.),həuli,heuli,həuli,xəuli,,,Kane 1989: 316,hefeli,həfəli,xəfəlji,,,Norman 1978: 127,kəvəl,kəvəl,khɘvɘl,,,Li 1986: 148,xəbəli,həbəli,xəbəli,,,Zhang et al. 1989: 122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
